"","Province","Country","Confirmed","Deaths","Recovered","DateRep","countries","dia","ln","population","yearChange","netChange","density","landArea","migrants","fertRate","medAge","urbanPop","worldShare","GeoId","pop1m","S","I","R"
"80",NA,"Poland",1,0,0,2020-03-04,"Poland",0,21,37846611,"-0,11%",-41157,124,306230,-29395,1.4,42,"60%","0,49%","PL",37.8,37846610,1,0
"81",NA,"Italy",3858,148,414,2020-03-05,"Italy",4,15,60461826,"-0,15%",-88249,206,294140,148943,1.3,47,"69%","0,78%","IT",60.5,60457406,3858,562
"82",NA,"Germany",482,0,16,2020-03-05,"Germany",4,11,83783942,"0,32%",266897,240,348560,543822,1.6,46,"76%","1,07%","DE",83.8,83783444,482,16
"83",NA,"France",377,6,12,2020-03-05,"France",4,10,65273511,"0,22%",143783,119,547557,36527,1.9,42,"82%","0,84%","FR",65.3,65273116,377,18
"84",NA,"Spain",259,3,2,2020-03-05,"Spain",4,26,46754778,"0,04%",18002,94,498800,40000,1.3,45,"80%","0,60%","ES",46.8,46754514,259,5
"85",NA,"Sweden",94,0,0,2020-03-05,"Sweden",4,27,10099265,"0,63%",62886,25,410340,40000,1.9,41,"88%","0,13%","SE",10.1,10099171,94,0
"86",NA,"Netherlands",82,0,0,2020-03-05,"Netherlands",4,20,17134872,"0,22%",37742,508,33720,16000,1.7,43,"92%","0,22%","NL",17.1,17134790,82,0
"87",NA,"Belgium",50,0,1,2020-03-05,"Belgium",4,2,11589623,"0,44%",50295,383,30280,48000,1.7,42,"98%","0,15%","BE",11.6,11589572,50,1
"88",NA,"Austria",41,0,0,2020-03-05,"Austria",4,1,9006398,"0,57%",51296,109,82409,65000,1.5,43,"57%","0,12%","AT",9,9006357,41,0
"89",NA,"Greece",31,0,0,2020-03-05,"Greece",4,12,10423054,"-0,48%",-50401,81,128900,-16000,1.3,46,"85%","0,13%","EL",10.4,10423023,31,0
"90",NA,"Czechia",12,0,0,2020-03-05,"Czechia",4,6,10708981,"0,18%",19772,139,77240,22011,1.6,43,"74%","0,14%","CZ",10.7,10708969,12,0
"91",NA,"Finland",12,0,1,2020-03-05,"Finland",4,9,5540720,"0,15%",8564,18,303890,14000,1.5,43,"86%","0,07%","FI",5.5,5540707,12,1
"92",NA,"Croatia",10,0,0,2020-03-05,"Croatia",4,4,4105267,"-0,61%",-25037,73,55960,-8001,1.4,44,"58%","0,05%","HR",4.1,4105257,10,0
"93",NA,"Denmark",10,0,0,2020-03-05,"Denmark",4,7,5792202,"0,35%",20326,137,42430,15200,1.8,42,"88%","0,07%","DK",5.8,5792192,10,0
"94",NA,"Portugal",8,0,0,2020-03-05,"Portugal",3,22,10196709,"-0,29%",-29478,111,91590,-6000,1.3,46,"66%","0,13%","PT",10.2,10196701,8,0
"95",NA,"Ireland",6,0,0,2020-03-05,"Ireland",4,14,4937786,"1,13%",55291,72,68890,23604,1.8,38,"63%","0,06%","IE",4.9,4937780,6,0
"96",NA,"Romania",6,0,1,2020-03-05,"Romania",4,23,19237691,"-0,66%",-126866,84,230170,-73999,1.6,43,"55%","0,25%","RO",19.2,19237684,6,1
"97",NA,"Estonia",3,0,0,2020-03-05,"Estonia",4,8,1326535,"0,07%",887,31,42390,3911,1.6,42,"68%","0,02%","EE",1.3,1326532,3,0
"98",NA,"Hungary",2,0,0,2020-03-05,"Hungary",1,13,9660351,"-0,25%",-24328,107,90530,6000,1.5,43,"72%","0,12%","HU",9.7,9660349,2,0
"99",NA,"Slovenia",2,0,0,2020-03-05,"Slovenia",0,25,2078938,"0,01%",284,103,20140,2000,1.6,45,"55%","0,03%","SI",2.1,2078936,2,0
"100",NA,"Latvia",1,0,0,2020-03-05,"Latvia",3,16,1886198,"-1,08%",-20545,30,62200,-14837,1.7,44,"69%","0,02%","LV",1.9,1886197,1,0
"101",NA,"Lithuania",1,0,0,2020-03-05,"Lithuania",4,17,2722289,"-1,35%",-37338,43,62674,-32780,1.7,45,"71%","0,03%","LT",2.7,2722288,1,0
